JSON file _data/taps/schemas/sendgrid-core/v1/json/group_members.json not found
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/campaigns.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/campaigns.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/groups_members.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/groups_members.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/invalids.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/invalids.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/lists_all.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/lists_all.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/lists_members.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/lists_members.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/segments_all.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/segments_all.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/segments_members.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/segments_members.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/spam_reports.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/spam_reports.json
Primary Key  not found in _data/taps/schemas/sendgrid-core/v1/json/templates_all.json
Replication Key  not found in _data/taps/schemas/sendgrid-core/v1/json/templates_all.json
Key list_ids.list_id not found in _data/taps/schemas/sendgrid-core/v1/json/campaigns.json
Key segment_ids.segment_id not found in _data/taps/schemas/sendgrid-core/v1/json/campaigns.json
Key list_id not found in _data/taps/schemas/sendgrid-core/v1/json/lists_all.json
Key id not found in _data/taps/schemas/sendgrid-core/v1/json/global_suppressions.json
